"Company Name","Parent Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Credit Score Alpha","Executive Gender","Executive Title","Fax Number Combined","IUSA Number","Location Employee Size Range","Location Sales Volume Range","Phone Number Combined","Primary SIC Code","Primary SIC Description","SIC Code 1","SIC Code 1 Description","Legal Name","Record Type"
"Benton Club","","","","2553 Madison Ave","Montgomery","AL","36107","B","","","","71-220-6570","5 to 9","Less Than $500,000","(816) 232-6719","581208","Restaurants","581208","Restaurants","","Verified"
"Benton's","","Jesse","Dorsey","407 N Maloy St","Opp","AL","36467","B+","Male","Owner","","13-416-3286","10 to 19","Less Than $500,000","(334) 493-6364","581208","Restaurants","581208","Restaurants","","Verified"
"Berkeley Bob's Coffee House","","Bob","Keefe","304 1st Ave SE","Cullman","AL","35055","C+","Male","Owner","","21-470-6111","1 to 4","Less Than $500,000","(256) 775-2944","581228","Coffee Shops","581228","Coffee Shops","BERKELEY BOB'S COFFEE HOUSE LLC","Verified"
"Bernetti's Diner","","George","Otto","2147 Pelham Pkwy","Pelham","AL","35124","B","Male","Owner","","69-863-8038","5 to 9","Less Than $500,000","(205) 733-3756","581208","Restaurants","581208","Restaurants","","Verified"
"Berry Babes","","","","","Huntsville","AL","35803","B","","","","78-230-6796","1 to 4","","(772) 370-3557","581206","Foods-Carry Out","581206","Foods-Carry Out","","Verified"
"Bert's Desserts","","","","8919 Highway 119","Alabaster","AL","35007","B","","","","77-996-8100","1 to 4","","(205) 624-3341","581208","Restaurants","581208","Restaurants","","Verified"
"Bertile's","","Jenny","Beech","13423 St Stephens Ave","Chatom","AL","36518","B+","Female","Manager","2518472508","44-828-3481","5 to 9","Less Than $500,000","(251) 847-2508","581208","Restaurants","581208","Restaurants","","Verified"
"Bertile's Fast Foods Rstrnt","","Liza","Snell","222 S Jackson St","Grove Hill","AL","36451","B+","Female","Manager","2512753455","47-754-6956","10 to 19","Less Than $500,000","(251) 275-3455","581208","Restaurants","581208","Restaurants","","Verified"
"Bertiles","","Jenny","Beench","19295 N 3rd St","Citronelle","AL","36522","B+","Female","Manager","2518665323","13-418-1882","10 to 19","Less Than $500,000","(251) 866-5323","581208","Restaurants","581208","Restaurants","","Verified"
"Bertino's","","Bob","Korink","1540 Florence Blvd","Florence","AL","35630","B+","Male","Owner","2567675358","37-802-7585","20 to 49","$1-2.5 Million","(256) 766-2541","581222","Pizza","581222","Pizza","","Verified"
"Bertolones-Calera","","","","209 Supercenter Dr","Calera","AL","35040","B","","","","73-949-5270","5 to 9","$5-10 Million","(205) 644-8780","581208","Restaurants","581208","Restaurants","","Verified"
"Besitos Mexican Kitchen","","","","5479 US-280 # 102","Birmingham","AL","35242","B","","","","78-230-6707","5 to 9","","(205) 326-7248","581206","Foods-Carry Out","581206","Foods-Carry Out","","Verified"
"Best Kept Secrets","","","","1723 3rd Ave N","Bessemer","AL","35020","B","","","","78-230-6612","5 to 9","","(334) 400-8460","581206","Foods-Carry Out","581206","Foods-Carry Out","","Verified"
"Best Taste N Town","","Shemeika","Baker","3030 Modaus Rd SW","Decatur","AL","35603","B","Female","Owner","","75-832-1138","1 to 4","Less Than $500,000","(256) 822-2352","581208","Restaurants","581208","Restaurants","BEST TASTE N TOWN LLC","Verified"
"Best Western-On The Beach","BEST WESTERN INTL INC","Bobby","Thompson","337 East Beach Blvd","Gulf Shores","AL","36542","A","Male","Vice President","2519487339","80-383-3540","20 to 49","$5-10 Million","(251) 948-2711","701101","Hotels & Motels","701101","Hotels & Motels","","Verified"
"Best Wings & Deli","","","","2429 Carraway Blvd","Birmingham","AL","35234","C+","","","","38-513-7963","1 to 4","Less Than $500,000","(205) 322-1244","581208","Restaurants","581208","Restaurants","","Verified"
"Best Wings & Deli","","Rudy","Rusmin","5017 Arrington Blvd N # A","Birmingham","AL","35212","B","Male","Manager","","40-198-3412","5 to 9","Less Than $500,000","(205) 591-8988","581208","Restaurants","581208","Restaurants","","Verified"
"Best Wings 3","","Cardell","Lightford","3700 Blue Spring Rd NW # A","Huntsville","AL","35810","C+","Male","Owner","","71-665-2334","1 to 4","Less Than $500,000","(256) 715-0232","581208","Restaurants","581208","Restaurants","BO'S BEST WINGS INC","Verified"
"Bethel Grocery","","Karen","Moore","27972 Bethel Rd","Elkmont","AL","35620","B+","Female","Owner","2564233670","80-303-6086","5 to 9","$500,000-1 Million","(256) 423-3670","541105","Grocers-Retail","541105","Grocers-Retail","","Verified"
"Bettola","","","","","Birmingham","AL","35233","B+","","","","76-535-5156","10 to 19","","(205) 731-6499","581222","Pizza","581222","Pizza","","Verified"
"Betty Maes","","","","2007 Memorial Pkwy NW","Huntsville","AL","35810","C","","","","74-567-7352","1 to 4","Less Than $500,000","(256) 746-4159","581208","Restaurants","581208","Restaurants","","Verified"
"Betty's Bar-B-Q","","Cathy","Pruett","401 S Quintard Ave","Anniston","AL","36201","A","Female","Owner","2562379876","70-074-7926","20 to 49","$1-2.5 Million","(256) 237-1411","581208","Restaurants","581208","Restaurants","BETTY'S BARBECUE INC","Verified"
"Bevs Diner & Country Store","","Beverly","Stone","20250 Highway 20","Waterloo","AL","35677","C+","Female","Owner","","73-084-0649","5 to 9","Less Than $500,000","(256) 767-4220","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","","Verified"
"Beyond The Wok","","Jason","Wang","339 S College St # F","Auburn","AL","36830","B","Male","Owner","","76-539-5077","1 to 4","","(334) 209-6132","581208","Restaurants","581208","Restaurants","","Verified"
"BFW Liquidation","","Melanie","Burden","13130 AL Highway 157","Moulton","AL","35650","C+","Female","Owner","","41-457-3002","1 to 4","Less Than $500,000","(256) 974-7500","581208","Restaurants","581208","Restaurants","","Verified"
"Bibb Street Pizza Co","","","","424 Bibb St","Montgomery","AL","36104","B+","","","","75-078-3360","5 to 9","Less Than $500,000","(334) 274-7872","581208","Restaurants","581208","Restaurants","","Verified"
"Bier Shacktaproom","","","","8191 State Highway 59","Foley","AL","36535","B","","","","75-313-7289","5 to 9","","(360) 241-4269","581208","Restaurants","581208","Restaurants","","Verified"
"Big Als Barbeque","","Allen","Neighbors","22371 Highway 43 N","Berry","AL","35546","B","Male","Owner","","80-289-8536","1 to 4","Less Than $500,000","(205) 339-2538","581208","Restaurants","581208","Restaurants","","Verified"
"Big B Bar-B-Que Inc","","Steve","Gibson","1626 Highway 22 W","Alexander City","AL","35010","B","Male","Owner","2563299462","49-599-0111","5 to 9","Less Than $500,000","(256) 329-9996","581208","Restaurants","581208","Restaurants","BIG B BAR-B-QUE INC","Verified"
"Big Bad Breakfast","","Edward","Cox","5361 US-280","Hoover","AL","35242","B","Male","Operation Exec","","70-543-7557","5 to 9","Less Than $500,000","(205) 490-7568","581208","Restaurants","581208","Restaurants","","Verified"
"Big Bad Breakfast-Florence","","","","315 N Court St","Florence","AL","35630","U","","","","73-478-0086","1 to 4","Less Than $500,000","(256) 415-8545","701107","Bed & Breakfast Accommodations","701107","Bed & Breakfast Accommodations","","Verified"
"Big Blue Bagel","","Jon","Deason","120 N College St","Auburn","AL","36830","B+","Male","Owner","","59-017-8778","10 to 19","$500,000-1 Million","(334) 501-2245","581208","Restaurants","581208","Restaurants","","Verified"
"Big Blue Crawfish","","","","2611 Pepperell Pkwy","Opelika","AL","36801","C+","","","","74-080-5579","5 to 9","Less Than $500,000","(334) 444-8136","581208","Restaurants","581208","Restaurants","","Verified"
"Big Bob Gibson's Bar-B-Q","","Don","Mclemore","1715 6th Ave SE","Decatur","AL","35601","A","Male","Owner","","80-293-9389","50 to 99","$2.5-5 Million","(256) 350-6969","581208","Restaurants","581208","Restaurants","BIG BOB GIBSON BAR-B-Q INC","Verified"
"Big Bowl Thai Restaurant","","","","6125 University Dr NW # D13","Huntsville","AL","35806","B","","","","71-893-7845","5 to 9","Less Than $500,000","(256) 970-4122","581208","Restaurants","581208","Restaurants","","Verified"
"Big Boys","","Evan","Weathers","5094 Louina Rd","Roanoke","AL","36274","B","Male","Owner","","40-565-0703","5 to 9","Less Than $500,000","(334) 863-6425","581208","Restaurants","581208","Restaurants","","Verified"
"Big Bull Campgrounds","","Lynn","Mulvehill","4310 Martin St S","Cropwell","AL","35054","C+","Female","Owner","2058844748","71-315-0480","1 to 4","Less Than $500,000","(205) 884-4748","703301","Campgrounds","703301","Campgrounds","","Verified"
"Big Chief","","","","600 Main St W","Glencoe","AL","35905","B","","","","71-093-4068","5 to 9","Less Than $500,000","(256) 492-4660","581208","Restaurants","581208","Restaurants","BIG CHIEF LLC","Verified"
"Big D'S Butts 'n Stuff","","","","4441 S Alabama Ave","Monroeville","AL","36460","C+","","","","43-716-0356","1 to 4","Less Than $500,000","(251) 743-4227","581208","Restaurants","581208","Restaurants","","Verified"
"Big Daddy's","","Greg","Richardson","8150 Syl Fville Hwy","Sylacauga","AL","35151","B","Male","Owner","","23-186-8365","5 to 9","$5-10 Million","(256) 249-4001","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","","Verified"
"Big Daddy's Bar-B-Q","","David","Dabbs","43121 AL Highway 21","Munford","AL","36268","B","Male","Partner","","58-082-8440","1 to 4","Less Than $500,000","(256) 358-9005","581208","Restaurants","581208","Restaurants","","Verified"
"Big Daddy's Grill","","Jason","Newsom","16542 Ferry Rd","Fairhope","AL","36532","B+","Male","Owner","","62-948-9451","20 to 49","$1-2.5 Million","(251) 990-8555","581208","Restaurants","581208","Restaurants","","Verified"
"Big Daddy's Real Pit Bar B Que","","Madison","Terry","205 N Rawls St","Enterprise","AL","36330","C+","Female","Owner","","57-536-5267","1 to 4","Less Than $500,000","(334) 393-6019","581208","Restaurants","581208","Restaurants","","Verified"
"Big Ed's Pizza","","Steve","Denton","255 Pratt Ave NE","Huntsville","AL","35801","B","Male","Owner","","64-333-8486","5 to 9","Less Than $500,000","(256) 489-3374","581222","Pizza","581222","Pizza","","Verified"
"Big Fish Restaurant & Bar","","Leck","Lilayuva","25814 Canal Rd","Orange Beach","AL","36561","B","Male","Owner","2519817168","24-381-1494","10 to 19","Less Than $500,000","(251) 981-5516","581208","Restaurants","581208","Restaurants","","Verified"
"Big Joes Pizza Kitchen","","","","9850 Airport Blvd","Mobile","AL","36608","C+","","","","72-548-7354","5 to 9","Less Than $500,000","(251) 375-1999","581208","Restaurants","581208","Restaurants","","Verified"
"Big John's Bar-B-Q","","Wendy","Wallace","15888 Highway 69 S","Moundville","AL","35474","B","Female","Manager","","51-494-7035","5 to 9","Less Than $500,000","(205) 371-6399","581208","Restaurants","581208","Restaurants","","Verified"
"Big John's BBQ & Co","","Jonathan","Hambrick","6360 Highway 53","Harvest","AL","35749","C","Male","Owner","","74-475-1779","1 to 4","Less Than $500,000","(256) 945-7413","581208","Restaurants","581208","Restaurants","","Verified"
"Big John's Bbq-Huntsville","","","","4550 Meridian St N # C","Huntsville","AL","35811","B","","","","78-230-6801","5 to 9","","(256) 469-6099","581206","Foods-Carry Out","581206","Foods-Carry Out","","Verified"
"Big John's Diner","","Darlene","Johnson","5780 Woodmere Blvd","Montgomery","AL","36117","C+","Female","Manager","","73-569-4678","5 to 9","Less Than $500,000","(334) 676-3331","581208","Restaurants","581208","Restaurants","BIG JOHN'S DINER LLC","Verified"
"Big Mike Steakhouse","","","","33215 Highway 43","Thomasville","AL","36784","B","","","","43-311-1173","5 to 9","Less Than $500,000","(334) 636-2260","581208","Restaurants","581208","Restaurants","BIG MIKE'S STEAKHOUSE AUBURN LLC","Verified"
"Big Mike's","","Mike","Borlovan","5929 Lott Rd","Eight Mile","AL","36613","U","Male","Owner","","78-660-8785","5 to 9","","(251) 348-7327","581208","Restaurants","581208","Restaurants","","Verified"
"Big Mike's Steakhouse","","Patrick","Kirkland","102 Coffee St","Andalusia","AL","36420","C+","Male","Manager","","72-322-3362","1 to 4","Less Than $500,000","(334) 222-6453","581208","Restaurants","581208","Restaurants","","Verified"
"Big Mike's Steakhouse","","Suzanne","Sherling","610 Shug Jordan Pkwy","Auburn","AL","36832","B","Female","Manager","","75-846-1797","5 to 9","","(334) 209-1975","581208","Restaurants","581208","Restaurants","","Verified"
"Big Mike's Steakhouse","","","","25638 Canal Rd","Orange Beach","AL","36561","B+","","","","76-539-4965","5 to 9","","(251) 981-2652","581208","Restaurants","581208","Restaurants","","Verified"
"Big Mikes Seafood & More","","Darlean","Gibson","25 Park St","Headland","AL","36345","C+","Female","Owner","","73-849-6255","1 to 4","Less Than $500,000","(334) 785-5138","581208","Restaurants","581208","Restaurants","","Verified"
"Big Mill Co-Vintage 1889","","Lynn","Brewer","151 8th St NE","Fort Payne","AL","35967","B","Female","Owner","","88-810-0013","5 to 9","Less Than $500,000","(256) 845-3380","581208","Restaurants","581208","Restaurants","","Verified"
"Big Papa Gyro","","Mike","Adibi","4925 University Dr NW # 120","Huntsville","AL","35816","C+","Male","Owner","","26-188-4241","1 to 4","Less Than $500,000","(256) 489-9050","581208","Restaurants","581208","Restaurants","","Verified"
"Big Potato Co","","Keith","Fleming","159 Interstate Dr","Greenville","AL","36037","B","Male","Owner","","74-803-4479","5 to 9","Less Than $500,000","(334) 371-2447","581208","Restaurants","581208","Restaurants","","Verified"
"Big Shake's Hot Chicken & Fish","","","","4925 University Dr NW","Huntsville","AL","35816","B","","","","75-064-9522","5 to 9","Less Than $500,000","(256) 684-8440","581208","Restaurants","581208","Restaurants","","Verified"
"Big Shortys Pizza","","","","228 County Rd","Arley","AL","35541","B","","","","76-535-5198","5 to 9","","(205) 544-1843","581222","Pizza","581222","Pizza","","Verified"
"Big Spring Cafe","","Pam","Milim","3507 Governors Dr SW","Huntsville","AL","35805","B","Female","Owner","","13-384-5784","5 to 9","Less Than $500,000","(256) 539-9994","581208","Restaurants","581208","Restaurants","","Verified"
"Big Tasty","","","","","Northport","AL","35473","B","","","","78-230-6714","5 to 9","","(205) 394-2024","581206","Foods-Carry Out","581206","Foods-Carry Out","","Verified"
"Big Time Cafe","","Stephanie","Wills","15726 AL Highway 176","Fort Payne","AL","35967","B","Female","Owner","","90-540-3507","1 to 4","Less Than $500,000","(256) 845-0363","581208","Restaurants","581208","Restaurants","","Verified"
"Big Time Diner","","Mitch","Nyeste","4936 Cottage Hill Rd","Mobile","AL","36602","A","Male","Owner","","49-298-4208","50 to 99","$2.5-5 Million","(251) 666-2141","581208","Restaurants","581208","Restaurants","","Verified"
"Big Whiskeys","BIG WHISKEY'S CONCEPTS LLC","","","5250 Peridot Pl","Hoover","AL","35244","U","","","","75-783-5997","","","(205) 593-4929","581208","Restaurants","581208","Restaurants","","Verified"
"Bike Mike's Restaurant II LLC","","Patrick","Kirkland","102 Coffee St","Andalusia","AL","36420","C+","Male","Owner","","72-262-6076","1 to 4","Less Than $500,000","(334) 222-6453","581208","Restaurants","581208","Restaurants","BIKE MIKE'S RESTAURANT II LLC","Verified"
"Bill-E's","","","","19992 State Highway 181","Fairhope","AL","36532","B","","","","42-793-5339","5 to 9","$500,000-1 Million","(251) 210-6246","581208","Restaurants","581208","Restaurants","","Verified"
"Bill-Robbie's EXCELLENT Bbq","","","","706 N Railroad Ave","Opelika","AL","36801","B+","","","","78-230-6950","5 to 9","","(334) 740-4212","581206","Foods-Carry Out","581206","Foods-Carry Out","","Verified"
"Billion Dollar Roundtable Inc","","Sharon","Patterson","7131 Applewater Ct","Spanish Fort","AL","36527","B","Female","President","","71-221-6596","5 to 9","$500,000-1 Million","Not Available","581208","Restaurants","581208","Restaurants","BILLION DOLLAR ROUNDTABLE","Verified"
"Billy Jack's Grill & Bar","","Juan","Martinez","22951 State Highway 59 S","Robertsdale","AL","36567","B","Male","Owner","","73-778-7930","10 to 19","$500,000-1 Million","(251) 256-0042","581208","Restaurants","581208","Restaurants","BILLY JACK'S GRILL & BAR LLC","Verified"
"Billy Jacks Grill & Bar","","Juan","Martinez","22951 State Route 59","Robertsdale","AL","36567","B","Male","Owner","","74-175-1650","10 to 19","$500,000-1 Million","(251) 256-0042","581208","Restaurants","581208","Restaurants","","Verified"
"Billy's Bar & Grill","","Jeff","Skruggs","4520 Overton Rd # 100","Birmingham","AL","35210","B","Male","Owner","","66-423-7161","5 to 9","Less Than $500,000","(205) 879-2238","581208","Restaurants","581208","Restaurants","","Verified"
"Billy's Bar BQ","","Terry","Dillings","119 5th Ave SE","Gordo","AL","35466","C+","Male","Owner","","41-512-0688","1 to 4","Less Than $500,000","(205) 364-1400","581208","Restaurants","581208","Restaurants","","Verified"
"Billy's Bar-Grill-English Vlg","","Stacey","Mitchell","2012 Cahaba Rd","Mountain Brook","AL","35223","A","Female","General Mgr","2058792347","13-359-7260","20 to 49","$1-2.5 Million","(205) 879-2238","581208","Restaurants","581208","Restaurants","BILLY'S INC","Verified"
"Billy's Sports Bar & Grill","","Billy","Butler","14881 Highway 231 431 N","Hazel Green","AL","35750","C+","Male","Owner","","99-562-4210","1 to 4","Less Than $500,000","(256) 829-0555","581301","Bars","581301","Bars","","Verified"
"Billy's Sports Grill-Northport","","","","430 Main Ave","Northport","AL","35476","B","","","","73-678-4873","5 to 9","Less Than $500,000","(205) 879-2238","581208","Restaurants","581208","Restaurants","","Verified"
"Bimbo's Restaurant","","Bimbo","Koen","10066 Highway 84","Silas","AL","36919","B","Male","Owner","","13-438-1912","5 to 9","Less Than $500,000","(251) 542-9941","581208","Restaurants","581208","Restaurants","","Verified"
"Binti's Bakery","","","","","Montgomery","AL","36116","B+","","","","76-535-5306","5 to 9","","(334) 294-0683","581208","Restaurants","581208","Restaurants","","Verified"
"Bird Buffet N Things","","Michael","Camire","1015 S Memorial Dr","Prattville","AL","36067","C","Male","Owner","","40-145-5518","1 to 4","Less Than $500,000","(334) 380-3070","599929","Pet Supplies & Foods-Retail","599929","Pet Supplies & Foods-Retail","","Verified"
"Birds & Burgers","","","","717 1st St N","Alabaster","AL","35007","B","","","","76-181-5221","5 to 9","","(205) 624-2077","581208","Restaurants","581208","Restaurants","","Verified"
"Birdy's","","","","400 Avalon Ave","Muscle Shoals","AL","35661","B+","","","","78-229-6380","5 to 9","","(256) 367-0088","581206","Foods-Carry Out","581206","Foods-Carry Out","","Verified"
"Birmingham Museum Of Art","","Kate","Cleveland","2000 Rev Woods Blvd","Birmingham","AL","35203","I","Female","Director","2057319425","46-902-6264","50 to 99","","(205) 254-2565","841201","Museums","841201","Museums","ART FUND OF BIRMINGHAM INC","Verified"
"Birmingham Restaurant Supl Inc","","George N","Tobia","2428 6th Ave S","Birmingham","AL","35233","A","Male","President","","42-748-7551","20 to 49","$1-2.5 Million","(205) 252-0076","581208","Restaurants","581208","Restaurants","BIRMINGHAM RESTAURANT SUPPLY","Verified"
"Birmingham Restaurants","","","","300 Summit Blvd # 103","Vestavia","AL","35243","C+","","","","72-501-2721","5 to 9","Less Than $500,000","(205) 969-6858","581208","Restaurants","581208","Restaurants","","Verified"
"Birmingham Wings & Waffles","","","","3425 6th Ave S","Birmingham","AL","35222","B+","","","","76-535-5152","10 to 19","","(205) 202-5245","581208","Restaurants","581208","Restaurants","BIRMINGHAM WINGS & WAFFLES LLC","Verified"
"Biryani Pot","","","","758 Downtowner Blvd","Mobile","AL","36609","B","","","","76-535-5385","1 to 4","","(251) 888-0999","581208","Restaurants","581208","Restaurants","","Verified"
"Biscuit Belly-Hoover","","","","1031 Brocks Gap Pkwy # 157","Hoover","AL","35244","B+","","","","78-191-1761","5 to 9","","(205) 559-1892","581208","Restaurants","581208","Restaurants","","Verified"
"Biscuit Express","","Kayla","Slage","5077 Moores Mill Rd","Huntsville","AL","35811","B","Female","Manager","","41-274-7247","5 to 9","Less Than $500,000","(256) 852-5571","581208","Restaurants","581208","Restaurants","","Verified"
"Biscuit Express","","Mike","Donavan","12053 Highway 231","Meridianville","AL","35759","B+","Male","Owner","2568290313","99-562-4269","5 to 9","Less Than $500,000","(256) 829-0100","581208","Restaurants","581208","Restaurants","","Verified"
"Biscuit King's Fun Barn","","Willie","Foster","9555 County Road 24","Fairhope","AL","36532","C","Male","Owner","","60-798-4093","1 to 4","Less Than $500,000","(251) 928-2424","581208","Restaurants","581208","Restaurants","","Verified"
"Biscuit Shop","","","","80 Mcfarland Blvd # 1","Northport","AL","35476","B","","","","70-520-0158","5 to 9","$500,000-1 Million","(662) 324-3118","581208","Restaurants","581208","Restaurants","","Verified"
"Biscuits & Bows Pet Salon","","Kim","Neal","13685 Highway 231 431 N","Hazel Green","AL","35750","B","Female","Owner","","75-761-8092","1 to 4","","(256) 813-5236","824909","Pet Grooming Instructions","824909","Pet Grooming Instructions","","Verified"
"Bishop's Home Style Cooking","","Tim","Bishop","4143 W Main St # 4","Dothan","AL","36305","B","Male","Owner","","60-805-4573","5 to 9","Less Than $500,000","(334) 699-8646","581208","Restaurants","581208","Restaurants","BISHOP'S HOME-STYLE COOKING INC","Verified"
"Bishop's Westside Pub & Grill","","Desiree","Franz","12060 County Line Rd # E","Madison","AL","35756","B","Female","Manager","","76-535-5232","5 to 9","","(256) 800-8181","581208","Restaurants","581208","Restaurants","","Verified"
"Bishops Food & Spirits","","Diane","Simonson","12110 County Line Rd","Madison","AL","35756","B","Female","Manager","","40-366-3247","5 to 9","Less Than $500,000","(256) 325-1069","581208","Restaurants","581208","Restaurants","","Verified"
"Bistro","","","","1000 W I65 Service Rd S","Mobile","AL","36609","B","","","","71-796-1728","10 to 19","Less Than $500,000","(251) 344-5200","581208","Restaurants","581208","Restaurants","","Verified"
"Bistro","","Kathy","Smith","4115 Courtney Dr","Tuscaloosa","AL","35405","C+","Female","Manager","","71-543-5078","1 to 4","Less Than $500,000","(205) 750-8384","581208","Restaurants","581208","Restaurants","","Verified"
"Bistro 127","","","","127 W Mckinnon St","New Brockton","AL","36351","B","","","","76-292-9570","1 to 4","","(334) 586-4139","581208","Restaurants","581208","Restaurants","","Verified"
"Bistro 1307","","Timothy","Beard","1307 Noble St","Anniston","AL","36201","C","Male","Owner","","74-438-8237","1 to 4","Less Than $500,000","(256) 403-0598","581208","Restaurants","581208","Restaurants","","Verified"
"Bistro 17","","Vincent","Shakir","2217 University Blvd","Tuscaloosa","AL","35401","B+","Male","Owner","","76-989-9445","10 to 19","","(205) 248-7096","581208","Restaurants","581208","Restaurants","","Verified"
"Bistro On 19th","","","","109 19th St N","Bessemer","AL","35020","U","","","","75-830-2504","","","(205) 800-7310","581208","Restaurants","581208","Restaurants","BISTRO ON 19TH LLC","Verified"
"Bistro Provare","","Jason","Bireley","4600 Valleydale Rd","Birmingham","AL","35242","B","Male","Manager","","42-568-2593","5 to 9","Less Than $500,000","(205) 983-5214","581208","Restaurants","581208","Restaurants","","Verified"
"Bistro St Emanuel","","","","200 Saint Emanuel St","Mobile","AL","36602","B","","","","78-230-6917","5 to 9","","(251) 405-5040","581206","Foods-Carry Out","581206","Foods-Carry Out","","Verified"
"Bistro Twohundredeighteen","","Tom","Saab","218 20th St N","Birmingham","AL","35203","B","Male","Owner","","42-515-6997","5 to 9","Less Than $500,000","(205) 983-7998","581208","Restaurants","581208","Restaurants","","Verified"
"Bistro Twohundredeighteen","","","","218 29th St N","Birmingham","AL","35203","B","","","","43-725-7008","5 to 9","Less Than $500,000","(205) 983-7998","581208","Restaurants","581208","Restaurants","","Verified"
"Bistro V","","Jeremy","Downey","521 Montgomery Hwy","Vestavia Hills","AL","35216","B+","Male","Owner","","40-234-2421","10 to 19","$500,000-1 Million","(205) 823-1505","581208","Restaurants","581208","Restaurants","","Verified"
"Bite Cafe","","","","1521 Pinson Valley Pkwy # D","Birmingham","AL","35217","B","","","","78-230-6702","5 to 9","","(205) 238-5700","581206","Foods-Carry Out","581206","Foods-Carry Out","","Verified"
"Bizilia's Cafe Auburn","","","","134 N College St","Auburn","AL","36830","C+","","","","22-557-9192","1 to 4","Less Than $500,000","(334) 826-0080","581208","Restaurants","581208","Restaurants","BIZILIA'S CAFE LLC","Verified"
"Bj's Restaurant & Brewhouse","BJ'S RESTAURANTS INC","Stephen","Cassway","401 The Bridge St # 120","Huntsville","AL","35806","A","Male","Manager","2566848085","70-942-4886","100 to 249","$5-10 Million","(256) 684-8080","581208","Restaurants","581208","Restaurants","","Verified"
"Bj's Restaurant & Brewhouse","BJ'S RESTAURANTS INC","Celeste","Paige","3748 Airport Blvd","Mobile","AL","36608","B+","Female","Manager","2515819245","72-393-3009","100 to 249","$2.5-5 Million","(251) 581-9240","581208","Restaurants","581208","Restaurants","","Verified"
"BK # 16437","","Barbara","Sharp","7757 Crestwood Blvd","Irondale","AL","35210","C+","Female","Manager","","74-342-0995","1 to 4","Less Than $500,000","(205) 201-4515","581208","Restaurants","581208","Restaurants","","Verified"
"BK Clouds","","Joseph","Mcglathery","1539 S Main St","Graysville","AL","35073","B","Male","Owner","","75-830-1035","5 to 9","Less Than $500,000","(205) 390-9888","581208","Restaurants","581208","Restaurants","","Verified"
"BKR Borland Benefield","","","","800 Shades Creek Pkwy # 875","Birmingham","AL","35209","B","","","","74-101-9221","10 to 19","Less Than $500,000","(205) 802-7212","581208","Restaurants","581208","Restaurants","","Verified"
"Black Market Bar & Grill","","Michael","Reaves","1035 20th St S","Birmingham","AL","35205","B","Male","Manager","","42-231-5560","5 to 9","Less Than $500,000","(205) 933-8035","581208","Restaurants","581208","Restaurants","","Verified"
"Black Market Bar & Grill","","Alise","Youngblood","3411 Colonnade Pkwy # 800","Birmingham","AL","35243","B","Male","Owner","","68-523-4031","5 to 9","Less Than $500,000","(205) 967-8787","581208","Restaurants","581208","Restaurants","","Verified"
"Black Pearl Asian Cuisine","","Susan","Lin","3439 Colonnade Pkwy","Birmingham","AL","35243","B+","Female","President","","61-645-6158","10 to 19","Less Than $500,000","(205) 262-9888","581208","Restaurants","581208","Restaurants","","Verified"
"Black Rock Bistro","","Lindsey","Kilgore","313 19th St W","Jasper","AL","35501","B","Female","Owner","","40-200-9875","5 to 9","Less Than $500,000","(205) 387-0282","581208","Restaurants","581208","Restaurants","","Verified"
"Black Water Restaurant","","Colleen","Whittaker","4320 Highway 195","Jasper","AL","35503","B","Female","Owner","","40-257-7831","5 to 9","Less Than $500,000","(205) 265-2796","581208","Restaurants","581208","Restaurants","JOHN'S BLACKWATER RESTAURANT INC","Verified"
"Blackmons Cafe","","Terryce","Baker","5620 Avenue J","Birmingham","AL","35208","B","Male","Owner","","43-260-8687","5 to 9","Less Than $500,000","(205) 925-2300","581208","Restaurants","581208","Restaurants","","Verified"
"Blackstone Pub & Eatery","","Christopher","Robinson","525 Broad St","Gadsden","AL","35901","B","Male","Owner","","13-387-1327","5 to 9","Less Than $500,000","(256) 543-7473","581208","Restaurants","581208","Restaurants","BLACKSTONE PUB & EATERY INC","Verified"
"Blaze Pizza","BLAZE PIZZA LLC","Kassandra","Hernandez","707 Arrington Blvd S","Birmingham","AL","35233","B+","Female","Manager","","72-505-5134","10 to 19","$500,000-1 Million","(205) 378-3888","581222","Pizza","581222","Pizza","","Verified"
"Blaze Pizza","BLAZE PIZZA LLC","","","7th Ave S","Birmingham","AL","35233","A","","","","74-848-8982","10 to 19","Less Than $500,000","(205) 378-3888","581222","Pizza","581222","Pizza","","Verified"
"Blaze Pizza","BLAZE PIZZA LLC","","","9 Du Rhu Dr","Mobile","AL","36608","A","","","","74-990-2630","10 to 19","$500,000-1 Million","(251) 304-7979","581222","Pizza","581222","Pizza","","Verified"
"Blaze Pizza","BLAZE PIZZA LLC","","","1800 Mcfarland Blvd E","Tuscaloosa","AL","35404","C+","","","","74-069-7904","1 to 4","Less Than $500,000","(205) 293-8400","581222","Pizza","581222","Pizza","","Verified"
"Blessed Bites","","","","","Tuscaloosa","AL","35404","B+","","","","76-535-5186","10 to 19","","(205) 523-6459","581208","Restaurants","581208","Restaurants","","Verified"
